Date;Prix
2013-01-18;1485.9
2013-01-25;1502.9
2013-01-02;1513.1
2013-08-02;1517.9
2013-02-15;1519.7
2013-02-22;1515.6
2013-01-03;1518.2
2013-08-03;1551.1
2013-03-15;1560.7
2013-03-22;1556.8
2013-03-29;1569.1
2013-05-04;1553.2
2013-12-04;1588.8
2013-04-19;1555.2
2013-04-26;1582.2
2013-03-05;1614.4
2013-10-05;1633.7
2013-05-17;1667.4
2013-05-24;1649.6
2013-05-31;1630.7
2013-07-06;1643.3
2013-06-14;1626.7
2013-06-21;1592.4
2013-06-28;1606.2
2013-05-07;1631.8
2013-12-07;1680.1
2013-07-19;1692.0
2013-07-26;1691.6
2013-02-08;1709.6
2013-09-08;1691.4
2013-08-16;1655.8
2013-08-23;1663.5
2013-08-30;1632.9
2013-06-09;1655.1
2013-09-13;1687.9
2013-09-20;1709.9
2013-09-27;1691.7
2013-04-10;1690.5
2013-11-10;1703.2
2013-10-18;1744.5
2013-10-25;1759.7
2013-01-11;1761.6
2013-08-11;1770.6
2013-11-15;1798.1
2013-11-22;1804.7
2013-11-29;1805.8
2013-06-12;1805.0
2013-12-13;1775.3
2013-12-20;1818.3
2013-12-27;1841.4
2014-03-01;1831.3
2014-10-01;1842.3
2014-01-17;1838.7
2014-01-24;1790.2
2014-01-31;1782.5
2014-07-02;1797.0
2014-02-14;1838.6
2014-02-21;1836.2
2014-02-28;1859.4
2014-07-03;1878.0
2014-03-14;1841.1
2014-03-21;1866.5
2014-03-28;1857.6
2014-04-04;1865.0
2014-11-04;1815.6
2014-04-18;1864.8
2014-04-25;1863.4
2014-02-05;1881.1
2014-09-05;1878.4
2014-05-16;1877.8
2014-05-23;1900.5
2014-05-30;1923.5
2014-06-06;1949.4
2014-06-13;1936.1
2014-06-20;1962.8
2014-06-27;1960.9
2014-04-07;1985.4
2014-11-07;1967.5
2014-07-18;1978.2
2014-07-25;1978.3
2014-01-08;1925.1
2014-08-08;1931.5
2014-08-15;1955.0
2014-08-22;1988.4
2014-08-29;2003.3
2014-05-09;2007.7
2014-12-09;1985.5
2014-09-19;2010.4
2014-09-26;1982.8
2014-03-10;1967.9
2014-10-10;1906.1
2014-10-17;1886.7
2014-10-24;1964.5
2014-10-31;2018.0
2014-07-11;2031.9
2014-11-14;2039.8
2014-11-21;2063.5
2014-11-28;2067.5
2014-05-12;2075.3
2014-12-12;2002.3
2014-12-19;2070.6
2014-12-26;2088.7
2015-02-01;2058.2
2015-09-01;2044.8
2015-01-16;2019.4
2015-01-23;2051.8
2015-01-30;1994.9
2015-06-02;2055.4
2015-02-13;2096.9
2015-02-20;2110.3
2015-02-27;2104.5
2015-06-03;2071.2
2015-03-13;2053.4
2015-03-20;2108.1
2015-03-27;2061.0
2015-03-04;2066.9
2015-10-04;2102.0
2015-04-17;2081.1
2015-04-24;2117.6
2015-01-05;2108.2
2015-08-05;2116.1
